Samples - Plot 0	"Amplitude, V - Plot 0"
984	-0.000201983
985	-0.00247874
986	0.000123269
987	-0.00215349
988	-0.00312925
989	-0.00215349
990	-0.00150299
991	-0.00247874
992	-0.00280399
993	-0.00247874
994	-0.000201983
995	-0.00312925
996	-0.00247874
997	-0.00182824
998	-0.0034545
999	-0.00182824
1000	-0.000852486
1001	-0.00377975
1002	-0.00117774
1003	-0.000201983
1004	-0.00247874
1005	0.00044852
1006	0.000773772
1007	0.000123269
1008	-0.000527234
1009	-0.00117774
1010	-0.00117774
1011	-0.00215349
1012	-0.00247874
1013	-0.00117774
1014	-0.000527234
1015	-0.00117774
1016	0.00044852
1017	-0.00117774
1018	-0.00150299
1019	-0.000852486
1020	0.00044852
1021	0.00044852
1022	-0.00215349
1023	-0.000201983
1024	0.000123269
1025	0.000123269
1026	0.00174953
1027	-0.000201983
1028	-0.00215349
1029	0.000123269
1030	0.000123269
1031	0.00044852
1032	-0.00215349
1033	0.00044852
1034	-0.00150299
1035	-0.00215349
1036	-0.00215349
1037	-0.0034545
1038	-0.00182824
1039	-0.000527234
1040	-0.000852486
1041	-0.000201983
1042	0.000123269
1043	-0.000852486
1044	-0.00215349
1045	-0.000201983
1046	0.000123269
1047	-0.000852486
1048	-0.000201983
1049	-0.00280399
1050	-0.000201983
1051	-0.000852486
1052	-0.00150299
1053	-0.00150299
1054	-0.00247874
1055	-0.00182824
1056	0.00109902
1057	-0.000852486
1058	-0.000852486
1059	-0.000852486
1060	-0.000852486
1061	-0.00150299
1062	0.00044852
1063	-0.00117774
1064	-0.00117774
1065	-0.00247874
1066	-0.00182824
1067	0.00044852
1068	-0.00117774
1069	-0.00182824
1070	-0.00247874
1071	0.000123269
1072	0.00044852
1073	-0.000852486
1074	-0.00247874
1075	0.000123269
1076	-0.00117774
1077	-0.000852486
1078	-0.00150299
1079	-0.000527234
1080	0.00044852
1081	-0.000852486
1082	0.00272528
1083	0.000773772
1084	-0.000201983
1085	0.000123269
1086	-0.00117774
1087	-0.00117774
1088	-0.000852486
1089	0.00044852
1090	-0.000852486
1091	0.00109902
1092	0.00240003
1093	0.00109902
1094	-0.000852486
1095	0.00142427
1096	0.00240003
1097	-0.000527234
1098	0.00142427
1099	0.000123269
1100	-0.000201983
1101	0.00109902
1102	0.00044852
1103	-0.00215349
1104	-0.00215349
1105	-0.000852486
1106	-0.000201983
1107	0.000123269
1108	0.000123269
1109	0.000123269
1110	-0.00150299
1111	-0.000201983
1112	-0.00117774
1113	-0.000527234
1114	0.00109902
1115	0.00044852
1116	0.000123269
1117	0.000773772
1118	-0.000201983
1119	-0.00117774
1120	-0.00117774
1121	-0.00182824
1122	-0.00182824
1123	-0.00280399
1124	-0.00215349
1125	-0.00215349
1126	-0.00247874
1127	-0.00117774
1128	-0.000852486
1129	-0.00247874
1130	-0.000852486
1131	0.00109902
1132	0.00142427
1133	-0.000201983
1134	-0.000201983
1135	-0.00150299
1136	-0.00117774
1137	-0.00247874
1138	-0.00215349
1139	-0.00312925
1140	-0.00150299
1141	-0.00117774
1142	-0.00117774
1143	-0.00280399
1144	-0.00150299
1145	0.00142427
1146	0.00044852
1147	-0.000201983
1148	-0.000527234
1149	-0.00182824
1150	-0.00215349
1151	0.000773772
1152	-0.000201983
1153	-0.00150299
1154	-0.00150299
1155	-0.00215349
1156	-0.00150299
1157	-0.000852486
1158	0.000773772
1159	0.00044852
1160	-0.00117774
1161	-0.00117774
1162	-0.00215349
1163	-0.00117774
1164	-0.00182824
1165	-0.00117774
1166	-0.00215349
1167	-0.00182824
1168	-0.00215349
1169	-0.00182824
1170	-0.00215349
1171	-0.00247874
1172	-0.00117774
1173	-0.00117774
1174	-0.00247874
1175	-0.00312925
1176	-0.00182824
1177	-0.00215349
1178	-0.00150299
1179	-0.00182824
